album image,album_cover_url,album_title,album_url,album_url_copy,author,label,release_country,release_format,release_year
,http://s.pixogs.com/image/R-90-2151327-1266786353.jpeg,Heart Of The Congos,http://www.discogs.com/Congos-Heart-Of-The-Congos/master/37159,/Congos-Heart-Of-The-Congos/master/37159,"Congos, The",Black Art,Jamaica,"LP, Album",1977
,http://s.pixogs.com/image/R-90-2544676-1293899773.jpeg,Island Life,http://www.discogs.com/Grace-Jones-Island-Life/master/45107,/Grace-Jones-Island-Life/master/45107,Grace Jones,Island Records,Europe,"LP, Comp",1985
,http://s.pixogs.com/image/R-90-1041774-1295304609.jpeg,Kala,http://www.discogs.com/MIA-Kala/master/80900,/MIA-Kala/master/80900,MIA*,XL Recordings,UK,"CD, Album",2007
,http://s.pixogs.com/image/R-90-409773-1153162210.jpeg,Signing Off,http://www.discogs.com/UB40-Signing-Off/master/88745,/UB40-Signing-Off/master/88745,UB40,Graduate Records,UK,"LP, Album + 12""",1980
,http://s.pixogs.com/image/R-90-552230-1131541227.jpeg,Labour Of Love,http://www.discogs.com/UB40-Labour-Of-Love/master/88775,/UB40-Labour-Of-Love/master/88775,UB40,DEP International,UK,"LP, Album",1983
,http://s.pixogs.com/image/R-90-552318-1409085922-9336.jpeg,Pass The Dutchie,http://www.discogs.com/Musical-Youth-Pass-The-Dutchie/master/475352,/Musical-Youth-Pass-The-Dutchie/master/475352,Musical Youth,MCA Records,UK,"7"", Single",1982
,http://s.pixogs.com/image/R-90-1581773-1283351358.jpeg,Confrontation,http://www.discogs.com/Bob-Marley-The-Wailers-Confrontation/master/79378,/Bob-Marley-The-Wailers-Confrontation/master/79378,Bob Marley & The Wailers,Tuff Gong|Island Records,Jamaica,LP,1983
,http://s.pixogs.com/image/R-90-385506-1308549430.jpeg,Rock For Light,http://www.discogs.com/Bad-Brains-Rock-For-Light/master/25239,/Bad-Brains-Rock-For-Light/master/25239,Bad Brains,PVC Records,US,"LP, Album",1983
,http://s.pixogs.com/image/R-90-108131-1263228863.jpeg,Club Classics Vol. One,http://www.discogs.com/Soul-II-Soul-Club-Classics-Vol-One/master/79393,/Soul-II-Soul-Club-Classics-Vol-One/master/79393,Soul II Soul,10 Records|10 Records,UK,"LP, Album",1989
,http://s.pixogs.com/image/R-90-3745741-1342661187-7496.jpeg,Bush Doctor,http://www.discogs.com/Peter-Tosh-Bush-Doctor/master/99977,/Peter-Tosh-Bush-Doctor/master/99977,Peter Tosh,Rolling Stones Records,UK,"LP, Album, Sti",1978
,http://s.pixogs.com/image/R-90-7913-1364917468-3294.jpeg,Sunshine Reggae / White Horse,http://www.discogs.com/Laid-Back-Sunshine-Reggae-White-Horse/master/401178,/Laid-Back-Sunshine-Reggae-White-Horse/master/401178,Laid Back,Sire,US,"12"", Maxi",1983
,http://s.pixogs.com/image/R-90-68746-1280950616.jpeg,Take The Heat Off Me,http://www.discogs.com/Boney-M-Take-The-Heat-Off-Me/master/98704,/Boney-M-Take-The-Heat-Off-Me/master/98704,Boney M.,Hansa International,Germany,"LP, Album",1976
,http://s.pixogs.com/image/R-90-1789565-1243439188.jpeg,King Tubbys Meets Rockers Uptown,http://www.discogs.com/Augustus-Pablo-King-Tubbys-Meets-Rockers-Uptown/master/131443,/Augustus-Pablo-King-Tubbys-Meets-Rockers-Uptown/master/131443,Augustus Pablo,Yard Music,Jamaica,"LP, Album",1976
,http://s.pixogs.com/image/R-90-411517-1141375449.jpeg,Cymande,http://www.discogs.com/Cymande-Cymande/master/84158,/Cymande-Cymande/master/84158,Cymande,Janus Records,US,"LP, Gat",1972
,http://s.pixogs.com/image/R-90-382534-1259760912.jpeg,Too Much Pressure,http://www.discogs.com/Selecter-Too-Much-Pressure/master/73287,/Selecter-Too-Much-Pressure/master/73287,"Selecter, The",Two-Tone Records|Two-Tone Records|Two-Tone Records,UK,"LP, Album",1980
,http://s.pixogs.com/image/R-90-4485547-1370831040-7445.jpeg,Aux Armes Et Cætera,http://www.discogs.com/Gainsbourg-Aux-Armes-Et-C%C3%A6tera/master/4955,/Gainsbourg-Aux-Armes-Et-C%C3%A6tera/master/4955,Gainsbourg*,Philips|Phonogram,France,"LP, Album",1979
,http://s.pixogs.com/image/R-90-1321434-1326768260.jpeg,Combat Rock,http://www.discogs.com/Clash-Combat-Rock/release/1321434,/Clash-Combat-Rock/release/1321434,"Clash, The",Epic|Epic,US,"LP, Album, 1st",1982
,http://s.pixogs.com/image/R-90-726687-1333748225.jpeg,Equal Rights,http://www.discogs.com/Peter-Tosh-Equal-Rights/master/99982,/Peter-Tosh-Equal-Rights/master/99982,Peter Tosh,CBS,Netherlands,"LP, Album",1977
,http://s.pixogs.com/image/R-90-100245-1353686746-3088.jpeg,Sandinista!,http://www.discogs.com/Clash-Sandinista/release/100245,/Clash-Sandinista/release/100245,"Clash, The",CBS,UK,"3xLP, Album",1980
,http://s.pixogs.com/image/R-90-2494209-1297921957.jpeg,Super Ape,http://www.discogs.com/Upsetters-Super-Ape/master/129942,/Upsetters-Super-Ape/master/129942,"Upsetters, The",Island Records,US,"LP, Album",1976
,http://s.pixogs.com/image/R-90-688776-1148043505.jpeg,See Mi Yah (Remixes #4),http://www.discogs.com/Rhythm-Sound-See-Mi-Yah-Remixes-4/release/688776,/Rhythm-Sound-See-Mi-Yah-Remixes-4/release/688776,Rhythm & Sound,Burial Mix,Germany,"12""",2006
,http://s.pixogs.com/image/R-90-2041360-1260317711.jpeg,Killer On The Rampage,http://www.discogs.com/Eddy-Grant-Killer-On-The-Rampage/master/111293,/Eddy-Grant-Killer-On-The-Rampage/master/111293,Eddy Grant,Portrait,Netherlands,"LP, Album",1982
,http://s.pixogs.com/image/R-90-191256-1246269805.jpeg,w/ The Artists,http://www.discogs.com/Rhythm-Sound-w-The-Artists/master/74249,/Rhythm-Sound-w-The-Artists/master/74249,Rhythm & Sound,Burial Mix,Germany,"CD, Comp",2003
,http://s.pixogs.com/image/R-90-3273288-1323387419.jpeg,Lioness: Hidden Treasures,http://www.discogs.com/Amy-Winehouse-Lioness-Hidden-Treasures/master/389826,/Amy-Winehouse-Lioness-Hidden-Treasures/master/389826,Amy Winehouse,Island Records Group|Lioness Records,UK,"CD, Album",2011
,http://s.pixogs.com/image/R-90-372723-1119799332.jpg,See Mi Yah,http://www.discogs.com/Rhythm-Sound-See-Mi-Yah/master/75346,/Rhythm-Sound-See-Mi-Yah/master/75346,Rhythm & Sound,Burial Mix,Germany,"7x7"", Comp",2005
,http://s.pixogs.com/image/R-90-3246158-1397343241-4118.jpeg,War Ina Babylon,http://www.discogs.com/Max-Romeo-Upsetters-War-Ina-Babylon/master/490972,/Max-Romeo-Upsetters-War-Ina-Babylon/master/490972,"Max Romeo &|Upsetters, The",Federal Records (3),Jamaica,LP,1976
,http://s.pixogs.com/image/R-90-1748265-1371172277-6097.jpeg,Sublime,http://www.discogs.com/Sublime-Sublime/release/1748265,/Sublime-Sublime/release/1748265,Sublime (2),Gasoline Alley Records|Skunk Records (2)|Geffen Records,US,"2xLP, Album, RE, 180",2008
,http://s.pixogs.com/image/R-90-887769-1380894840-6368.jpeg,Could You Be Loved,http://www.discogs.com/Bob-Marley-The-Wailers-Could-You-Be-Loved/master/100584,/Bob-Marley-The-Wailers-Could-You-Be-Loved/master/100584,Bob Marley & The Wailers,Island Records|Island Records,Germany,"7"", Single",1980
,http://s.pixogs.com/image/R-90-1078894-1292008755.jpeg,Funky Kingston,http://www.discogs.com/Toots-The-Maytals-Funky-Kingston/master/65695,/Toots-The-Maytals-Funky-Kingston/master/65695,Toots & The Maytals,Dragon (2),UK,"LP, Album",1973
,http://s.pixogs.com/image/R-90-746150-1156862181.jpeg,The Birth Of A Legend,http://www.discogs.com/Bob-Marley-The-Wailers-The-Birth-Of-A-Legend/master/134516,/Bob-Marley-The-Wailers-The-Birth-Of-A-Legend/master/134516,Bob Marley & The Wailers,Calla Records,US,"2xLP, Comp",1976
,http://s.pixogs.com/image/R-90-3473-1247083075.jpeg,No Protection,http://www.discogs.com/Massive-Attack-V-Mad-Professor-No-Protection/release/3473,/Massive-Attack-V-Mad-Professor-No-Protection/release/3473,Massive Attack V|Mad Professor,Wild Bunch Records|Wild Bunch Records|Circa,Europe,"CD, Album",1995
,http://s.pixogs.com/image/R-90-209808-1329826360.jpeg,The Tide Is High,http://www.discogs.com/Blondie-The-Tide-Is-High/master/64496,/Blondie-The-Tide-Is-High/master/64496,Blondie,Chrysalis,UK,"7"", Single",1980
,http://s.pixogs.com/image/R-90-1374939-1217782581.jpeg,Bad Brains,http://www.discogs.com/Bad-Brains-Bad-Brains/release/1374939,/Bad-Brains-Bad-Brains/release/1374939,Bad Brains,ROIR (Reachout International Records),US,"LP, Album, RE",1997
,http://s.pixogs.com/image/R-90-5580547-1397136539-6903.jpeg,Mystic Man,http://www.discogs.com/Peter-Tosh-Mystic-Man/master/99997,/Peter-Tosh-Mystic-Man/master/99997,Peter Tosh,Intel Diplo,Jamaica,"LP, Album",1979
,http://s.pixogs.com/image/R-90-7951-1369675269-9326.jpeg,Blowback,http://www.discogs.com/Tricky-Blowback/master/50242,/Tricky-Blowback/master/50242,Tricky,Anti-,Europe,"LP, Album",2001
,http://s.pixogs.com/image/R-90-509235-1216168183.jpeg,Legend - The Best Of Bob Marley And The Wailers,http://www.discogs.com/Bob-Marley-The-Wailers-Legend-The-Best-Of-Bob-Marley-And-The-Wailers/release/509235,/Bob-Marley-The-Wailers-Legend-The-Best-Of-Bob-Marley-And-The-Wailers/release/509235,Bob Marley & The Wailers,Island Records,UK,"LP, Comp, Gat",1984
,http://s.pixogs.com/image/R-90-2635223-1294321486.jpeg,The Special AKA Vs. The Selecter,http://www.discogs.com/Special-AKA-The-Vs-Selecter-The-Special-AKA-Vs-The-Selecter/master/8228,/Special-AKA-The-Vs-Selecter-The-Special-AKA-Vs-The-Selecter/master/8228,"Special A.K.A., The* Vs.|Selecter, The",Two-Tone Records|Two-Tone Records,UK,"7""",1979
,http://s.pixogs.com/image/R-90-521508-1326609289.jpeg,Calypso,http://www.discogs.com/Harry-Belafonte-Calypso/master/80048,/Harry-Belafonte-Calypso/master/80048,Harry Belafonte,RCA Victor,US,"LP, Album, Mono",1956
